*race,parental_level_of_education,lunch,test_preparation_course,_candidate_id,_candidate_name,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R29,#R30,#R31,#R32,#R33,#R34,#R35,#R36,#R37,#R38,#R39,#R40,#R41,#R42,#R43,#R44,#R45,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53,#R54,#R55,#R56,#R57,#R58,#R59,#R60,#R61,#R62,#R63,#R64,#R65,#R66,#R67,#R68,#R69,#R70,#R71,#R72,#R73,#R74,#R75,#R76,#R77,#R78,#R79,#R80,#R81,#R82,#R83,#R84,#R85,#R86,#R87,#R88,#R89,#R90,#R91,#R92,#R93,#R94,#R95,#R96,#R97,#R98,#R99,#R100,#R101,#R102,#R103,#R104,#R105,#R106,#R107,#R108,#R109,#R110,#R111,#R112,#R113,#R114,#R115,#R116,#R117,#R118,#R119,#R120,#R121,#R122,#R123,#R124,#R125,#R126,#R127,#R128,#R129,#R130,#R131,#R132,#R133,#R134,#R135,#R136,#R137,#R138,#R139,#R140
Black,school,free/reduced,completed,42,Laurel Brewer,36,51,15,51,27,57,48,15,36,53,27,48,48,48,35,34,27,19,48,11,36,0,48,0,48,36,48,57,48,15,11,11,34,29,48,36,36,36,48,27,42,45,53,0,45,11,11,54,36,36,6,39,42,57,34,25,34,34,39,42,19,42,34,29,29,34,7,39,22,19,6,57,6,31,57,31,29,51,29,6,34,29,7,2,6,7,22,39,31,6,40,31,42,31,57,57,6,6,29,18,36,42,36,0,0,19,30,57,57,51,51,30,22,51,43,42,25,42,44,36,36,36,25,43,37,40,51,25,40,57,6,35,19,30,40,51,57,3,40,58
White,high school,free/reduced,completed,43,Rosemary Phelps,34,27,0,3,3,34,19,11,48,3,45,27,27,53,53,57,34,42,53,53,3,36,34,3,3,51,8,45,11,36,34,19,0,3,34,34,0,27,0,35,27,36,36,48,34,34,57,0,53,3,24,19,31,6,42,39,57,29,29,31,3,57,57,40,31,42,4,40,51,31,31,40,42,19,6,35,31,7,42,31,40,53,19,7,57,4,7,34,57,19,19,57,39,6,42,15,31,19,24,57,25,51,25,43,42,57,51,30,36,36,43,0,30,30,56,57,36,30,20,57,51,25,43,36,6,57,36,30,51,36,20,51,30,43,25,33,51,43,51,43
White,school,standard,none,44,Noemi Reilly,53,0,42,48,0,53,36,3,22,35,3,45,45,34,27,31,36,15,34,34,27,27,15,34,0,19,53,42,29,57,27,15,48,0,0,48,35,11,31,45,36,42,6,27,48,35,42,36,34,11,39,35,40,7,53,57,42,57,6,34,34,53,7,57,19,7,3,31,44,39,39,18,51,34,42,6,7,39,34,40,39,9,34,39,53,25,51,42,42,29,57,6,34,19,6,34,35,22,6,2,57,36,42,57,57,51,25,51,19,30,3,36,51,43,30,51,57,36,43,6,6,43,30,51,44,30,30,6,25,43,43,30,36,51,6,0,36,54,39,3
Native,school,standard,none,45,Lucia Sparks,48,42,51,27,11,42,27,42,40,11,48,34,34,42,48,36,11,57,42,19,48,48,11,48,11,15,34,11,3,11,36,34,27,42,53,53,11,53,12,29,3,31,3,11,0,15,15,48,0,27,51,57,34,31,39,7,31,7,31,3,57,29,19,34,57,31,25,25,6,7,15,51,3,57,31,42,19,40,31,39,31,42,31,6,29,6,57,22,39,18,31,42,29,51,39,7,39,29,19,34,51,19,57,30,43,25,43,25,25,25,0,43,6,42,51,43,43,43,51,40,0,30,51,42,31,54,57,36,30,51,51,6,25,57,43,42,25,11,24,14
Black,school,standard,completed,46,Tony Stark,11,36,53,19,31,11,3,6,27,29,36,11,19,3,11,48,19,36,36,22,15,3,53,36,15,3,3,15,27,0,53,0,11,34,15,27,3,29,11,19,34,27,27,36,36,48,3,34,48,34,31,31,57,39,31,34,39,51,57,51,7,6,31,7,34,39,34,6,57,22,42,31,19,29,34,47,6,19,39,24,6,19,29,42,31,19,6,31,6,24,39,39,57,7,34,31,42,57,34,40,30,40,30,51,36,43,57,6,43,43,33,57,25,12,42,25,42,25,33,0,25,57,36,25,57,0,0,51,42,8,12,36,43,36,30,25,34,21,11,29
Pacific Islander,college,standard,none,47,Hayden Perry,29,15,3,11,42,3,34,48,34,15,11,29,11,27,42,11,42,53,27,27,53,11,27,27,27,48,27,27,53,3,48,3,36,27,3,11,48,48,53,36,11,3,34,34,11,22,27,27,27,56,42,42,39,15,7,42,35,15,35,39,6,3,39,42,42,57,19,42,39,6,34,25,57,39,39,22,34,6,24,19,57,6,51,43,7,39,31,30,34,42,25,34,40,29,31,22,57,51,42,29,43,43,43,6,30,54,36,43,56,27,19,6,36,6,33,36,33,57,6,51,57,6,57,27,0,36,42,43,36,30,42,25,12,25,44,3,20,16,22,28
White,school,standard,none,48,Dario Sheppard,31,29,22,29,48,22,11,27,29,27,31,53,15,11,36,27,3,0,29,48,29,8,36,31,42,8,36,36,36,42,8,22,42,47,27,19,31,12,27,34,48,40,19,15,15,36,36,24,42,0,57,3,24,3,51,3,51,25,7,29,43,39,15,44,44,29,57,3,7,15,30,24,39,24,24,57,42,3,44,57,25,31,15,57,24,30,3,6,29,44,29,51,43,57,15,42,34,3,57,15,27,27,33,27,19,27,44,33,44,33,36,12,43,36,36,44,44,27,12,19,10,8,33,3,51,8,54,42,8,6,57,3,42,31,36,10,54,41,35,21
Native,associate,standard,none,49,Anahi Aguilar,42,34,12,34,34,27,42,34,56,36,42,19,31,56,22,42,15,11,15,3,10,12,10,19,47,34,42,53,22,22,31,29,29,11,29,29,12,22,3,11,12,47,8,29,42,3,47,8,11,31,15,47,15,29,29,51,29,31,3,19,29,31,24,25,3,3,31,24,3,29,3,7,31,6,29,25,25,31,43,43,29,51,3,29,44,34,29,51,15,57,6,24,44,39,24,6,30,31,25,43,42,30,44,19,33,8,42,19,27,42,30,33,19,57,25,12,51,33,27,54,33,27,27,30,30,19,8,54,44,44,25,42,57,27,54,44,27,33,44,8
Asian,bachelor,free/reduced,completed,50,Oliver King,27,22,19,42,19,12,31,29,0,22,29,36,3,19,31,19,8,12,11,42,12,31,8,42,31,31,31,22,42,29,15,12,19,12,22,56,15,19,15,12,19,12,22,31,31,29,8,22,31,19,34,51,33,51,25,6,15,3,24,6,31,25,29,47,39,25,29,57,29,42,57,34,25,36,15,24,47,25,25,15,15,15,44,24,43,24,19,3,24,51,3,29,3,43,25,29,15,39,47,51,44,54,51,33,27,30,54,12,8,12,12,19,10,54,27,27,19,44,36,42,44,44,12,33,54,43,31,12,57,27,33,8,8,29,19,12,8,50,30,38
Native,bachelor,standard,completed,51,Alexandra Beltran,8,19,8,31,29,15,29,31,19,12,12,42,12,15,29,22,31,10,8,29,31,29,29,29,12,11,19,12,12,8,42,53,31,19,31,24,47,42,8,47,31,15,42,42,12,8,19,19,29,15,33,43,25,43,3,24,36,47,15,24,15,30,44,51,51,47,24,43,47,33,24,29,44,44,3,3,15,24,57,29,43,44,47,44,15,51,24,29,25,39,44,15,24,15,3,30,25,24,3,39,12,44,8,44,31,12,27,27,12,31,8,54,42,44,8,30,30,24,57,27,8,33,44,44,8,12,43,8,19,33,27,19,33,42,42,43,43,17,33,52
Black,school,standard,none,52,Harold Cannon,12,11,27,15,56,31,15,19,12,31,19,12,42,10,12,8,12,8,12,8,47,47,42,22,22,22,15,56,15,27,22,36,15,31,11,3,19,34,24,31,24,19,15,22,29,12,22,42,8,12,25,24,51,24,36,44,25,6,44,15,44,51,51,39,24,51,51,51,36,25,25,15,43,15,44,51,24,15,6,51,3,24,33,15,51,43,36,47,51,25,15,25,15,3,36,51,29,25,39,44,54,8,27,12,29,0,12,42,42,44,27,42,12,33,19,19,54,51,54,8,54,12,54,54,12,27,27,33,33,31,44,12,44,12,12,54,19,59,25,25
Black,school,free/reduced,none,53,Nadia Blanchard,19,8,36,12,12,10,12,12,31,42,8,10,10,31,56,12,29,22,24,12,11,42,22,12,36,10,29,31,19,19,29,42,22,36,47,15,29,31,42,42,29,8,29,12,19,42,29,12,22,29,29,6,3,30,15,36,24,44,43,25,24,24,25,15,25,15,43,29,25,43,43,43,24,3,51,29,51,44,47,44,51,43,39,3,3,29,33,25,3,47,30,3,51,24,44,36,3,43,31,24,33,57,12,42,54,33,33,8,54,57,54,44,27,27,12,8,27,12,42,10,12,54,29,24,19,42,12,27,24,42,8,44,0,33,10,19,12,58,29,48
Black,bachelor,standard,none,54,Katherine Fox,24,31,11,56,15,19,24,10,15,19,47,22,29,8,10,29,48,29,31,31,42,56,19,24,8,29,12,47,31,24,19,24,12,56,19,31,22,15,19,10,22,29,12,19,47,19,48,47,19,42,47,15,47,42,33,15,3,39,25,43,51,15,47,36,47,24,44,47,31,3,29,3,29,51,43,15,44,47,33,3,24,3,57,25,30,44,25,15,36,3,47,30,6,44,29,24,24,30,44,25,10,29,10,54,8,31,8,44,33,19,24,24,54,10,54,54,12,10,24,33,27,19,8,12,33,44,29,31,54,19,19,54,27,44,27,30,24,46,43,0
Native,high school,standard,completed,55,Jaylee Walter,10,12,29,47,8,29,56,56,42,24,56,47,56,29,15,3,22,27,56,47,24,19,12,8,10,42,22,24,47,31,12,56,8,24,12,12,42,24,29,22,15,34,0,8,22,10,12,15,47,10,3,25,30,25,47,29,33,30,51,30,47,36,30,33,15,30,47,33,24,44,36,36,15,47,25,33,43,43,15,33,30,25,24,30,25,33,15,24,47,15,51,47,25,25,51,25,44,33,15,3,8,12,54,24,25,42,31,54,51,54,29,27,31,19,24,33,8,8,8,12,24,10,31,10,29,33,24,19,27,12,31,27,31,10,24,24,31,18,19,53
Native,school,standard,completed,56,Perla Henson,56,56,56,24,22,47,22,22,47,56,10,24,8,24,47,24,24,24,22,15,8,15,24,47,56,56,47,19,8,10,56,47,24,8,8,10,10,10,56,24,8,24,24,47,24,31,10,31,15,22,30,36,44,47,43,33,43,43,33,36,25,43,36,43,43,36,15,44,30,30,51,30,30,25,47,44,30,36,51,30,44,30,30,51,33,36,47,33,44,30,24,43,30,30,43,43,47,44,36,33,19,33,19,31,44,29,29,24,24,8,10,8,44,31,29,24,29,54,10,44,42,42,42,29,10,31,10,44,29,54,54,31,29,8,33,27,33,53,10,23
Native,college,standard,completed,57,Valery Diaz,47,47,10,22,47,56,8,24,24,8,22,8,22,22,19,47,10,31,19,10,22,10,56,10,24,12,10,29,10,12,24,8,47,10,24,8,24,8,22,8,10,22,47,10,10,24,31,56,56,47,43,30,43,44,24,43,44,33,36,44,33,44,43,3,33,43,33,15,33,24,47,44,36,30,33,30,36,30,3,25,33,47,25,47,36,15,44,36,30,43,33,33,33,36,30,33,33,36,43,30,24,24,24,10,12,44,24,31,29,24,44,31,29,8,10,31,24,31,29,29,19,29,24,19,27,24,33,29,31,10,29,10,24,54,29,8,44,34,38,6
Black,high school,standard,none,58,Adelyn Stark,15,10,24,10,10,8,47,8,10,10,24,31,24,12,24,10,47,56,47,56,56,22,47,56,29,47,24,8,56,56,47,10,10,15,56,22,8,47,47,56,47,56,56,56,56,47,56,10,24,8,36,33,29,33,44,30,47,36,47,33,30,33,3,30,36,44,30,36,15,47,33,47,47,43,36,43,3,29,36,36,36,36,43,36,47,47,43,43,33,33,43,36,47,33,47,47,36,15,30,47,31,10,31,8,10,24,19,10,31,10,42,29,8,29,31,10,10,19,19,31,29,31,10,8,42,29,44,24,12,29,10,24,54,19,8,31,29,20,7,12
White,school,standard,none,59,Presley Wolf,22,24,47,8,24,24,10,47,8,47,15,56,47,47,8,56,56,47,10,24,19,24,31,15,19,24,56,10,24,47,10,31,56,22,10,47,56,56,10,15,56,10,10,24,8,56,24,29,10,24,44,44,36,36,30,47,30,24,30,47,36,47,33,24,30,33,36,30,43,36,44,33,33,33,30,36,33,33,30,47,47,33,36,33,39,3,30,44,43,36,36,44,36,47,33,44,43,47,33,36,29,31,29,29,24,10,10,29,10,29,31,10,24,24,44,29,31,29,31,24,31,24,19,31,24,10,19,10,10,24,24,29,10,24,31,29,10,32,59,35
